"floor","radon","county"
"first",2.2,"AITKIN"
"basement",2.2,"AITKIN"
"basement",2.9,"AITKIN"
"basement",1,"AITKIN"
"basement",3.1,"ANOKA"
"basement",2.5,"ANOKA"
"basement",1.5,"ANOKA"
"basement",1,"ANOKA"
"basement",0.7,"ANOKA"
"basement",1.2,"ANOKA"
"basement",1.2,"ANOKA"
"basement",1.3,"ANOKA"
"basement",1.4,"ANOKA"
"basement",0.4,"ANOKA"
"basement",1.1,"ANOKA"
"basement",4.5,"ANOKA"
"basement",1.3,"ANOKA"
"basement",2.1,"ANOKA"
"basement",5.9,"ANOKA"
"basement",3.3,"ANOKA"
"basement",1.8,"ANOKA"
"basement",5.4,"ANOKA"
"basement",6.3,"ANOKA"
"basement",1.9,"ANOKA"
"basement",6.6,"ANOKA"
"basement",3.1,"ANOKA"
"basement",6.8,"ANOKA"
"basement",7,"ANOKA"
"basement",7.7,"ANOKA"
"basement",5.2,"ANOKA"
"basement",4.5,"ANOKA"
"basement",4.4,"ANOKA"
"basement",2.8,"ANOKA"
"basement",8.1,"ANOKA"
"basement",1.6,"ANOKA"
"basement",4.2,"ANOKA"
"basement",5.4,"ANOKA"
"basement",4,"ANOKA"
"basement",2.3,"ANOKA"
"basement",2.9,"ANOKA"
"basement",1.4,"ANOKA"
"basement",3.3,"ANOKA"
"basement",2.9,"ANOKA"
"first",1.8,"ANOKA"
"first",0.2,"ANOKA"
"basement",2.4,"ANOKA"
"first",1.1,"ANOKA"
"basement",2.2,"ANOKA"
"basement",0.6,"ANOKA"
"basement",1.7,"ANOKA"
"basement",2.9,"ANOKA"
"basement",2.2,"ANOKA"
"basement",1.7,"ANOKA"
"basement",1.4,"ANOKA"
"basement",1.9,"ANOKA"
"basement",1.8,"ANOKA"
"first",1.2,"BECKER"
"basement",4.3,"BECKER"
"first",4.5,"BECKER"
"basement",6.3,"BELTRAMI"
"basement",4.6,"BELTRAMI"
"basement",5.7,"BELTRAMI"
"first",2.2,"BELTRAMI"
"first",0.4,"BELTRAMI"
"first",4.6,"BELTRAMI"
"first",4.4,"BELTRAMI"
"basement",6.6,"BENTON"
"basement",2.7,"BENTON"
"first",2.9,"BENTON"
"basement",2.9,"BENTON"
"basement",7.2,"BIG STONE"
"basement",5,"BIG STONE"
"basement",2.6,"BIG STONE"
"basement",5,"BLUE EARTH"
"basement",13,"BLUE EARTH"
"basement",7.2,"BLUE EARTH"
"basement",6.8,"BLUE EARTH"
"basement",12.8,"BLUE EARTH"
"first",5.8,"BLUE EARTH"
"basement",9.5,"BLUE EARTH"
"basement",6,"BLUE EARTH"
"basement",3.8,"BLUE EARTH"
"first",14.3,"BLUE EARTH"
"basement",1.8,"BLUE EARTH"
"basement",6.9,"BLUE EARTH"
"basement",4.7,"BLUE EARTH"
"basement",9.5,"BLUE EARTH"
"first",2.5,"BROWN"
"basement",6.7,"BROWN"
"first",4,"BROWN"
"basement",10.1,"BROWN"
"basement",2.2,"CARLTON"
"basement",1.8,"CARLTON"
"basement",3.4,"CARLTON"
"first",5.6,"CARLTON"
"basement",4.3,"CARLTON"
"basement",3.9,"CARLTON"
"basement",1.3,"CARLTON"
"basement",4.2,"CARLTON"
"basement",0.8,"CARLTON"
"basement",2,"CARLTON"
"basement",1.6,"CARVER"
"basement",12.9,"CARVER"
"first",14.7,"CARVER"
"first",4.7,"CARVER"
"basement",9.6,"CARVER"
"first",0,"CARVER"
"basement",3.7,"CASS"
"basement",7.4,"CASS"
"basement",1.9,"CASS"
"basement",5.3,"CASS"
"basement",4,"CASS"
"basement",7.7,"CHIPPEWA"
"basement",1.4,"CHIPPEWA"
"basement",10,"CHIPPEWA"
"basement",9.4,"CHIPPEWA"
"basement",0.8,"CHISAGO"
"basement",4.4,"CHISAGO"
"basement",5,"CHISAGO"
"basement",2.1,"CHISAGO"
"basement",1.7,"CHISAGO"
"basement",8.1,"CHISAGO"
"first",0.9,"CLAY"
"basement",12.9,"CLAY"
"basement",2.6,"CLAY"
"first",3.5,"CLAY"
"basement",26.6,"CLAY"
"basement",1.5,"CLAY"
"basement",13,"CLAY"
"basement",8.8,"CLAY"
"basement",19.5,"CLAY"
"first",2.5,"CLAY"
"basement",9,"CLAY"
"basement",13.1,"CLAY"
"basement",3.6,"CLAY"
"first",6.9,"CLAY"
"first",4.8,"CLEARWATER"
"basement",3.4,"CLEARWATER"
"first",0.9,"CLEARWATER"
"basement",3.4,"CLEARWATER"
"basement",2.7,"COOK"
"basement",1.4,"COOK"
"basement",6.8,"COTTONWOOD"
"first",11.1,"COTTONWOOD"
"first",0,"COTTONWOOD"
"first",2.5,"COTTONWOOD"
"basement",1.8,"CROW WING"
"basement",1.6,"CROW WING"
"first",1,"CROW WING"
"basement",0.9,"CROW WING"
"basement",2.9,"CROW WING"
"basement",4.4,"CROW WING"
"basement",1.5,"CROW WING"
"basement",4.1,"CROW WING"
"first",2.5,"CROW WING"
"first",6.7,"CROW WING"
"basement",4.3,"CROW WING"
"basement",5.5,"CROW WING"
"basement",3.6,"DAKOTA"
"basement",2.8,"DAKOTA"
"basement",14.6,"DAKOTA"
"basement",6.7,"DAKOTA"
"basement",8,"DAKOTA"
"basement",2.6,"DAKOTA"
"first",2.8,"DAKOTA"
"basement",4.4,"DAKOTA"
"first",1.7,"DAKOTA"
"basement",2,"DAKOTA"
"basement",2,"DAKOTA"
"basement",1.5,"DAKOTA"
"basement",9.6,"DAKOTA"
"basement",8.1,"DAKOTA"
"basement",3.5,"DAKOTA"
"first",0.8,"DAKOTA"
"basement",5.1,"DAKOTA"
"basement",3.2,"DAKOTA"
"basement",10.8,"DAKOTA"
"basement",8.2,"DAKOTA"
"basement",6.3,"DAKOTA"
"basement",4.8,"DAKOTA"
"basement",6,"DAKOTA"
"basement",1.1,"DAKOTA"
"basement",8.7,"DAKOTA"
"basement",8.8,"DAKOTA"
"basement",6.8,"DAKOTA"
"basement",2.3,"DAKOTA"
"basement",1.6,"DAKOTA"
"basement",2.8,"DAKOTA"
"basement",6.5,"DAKOTA"
"basement",1.7,"DAKOTA"
"basement",4.6,"DAKOTA"
"basement",3.3,"DAKOTA"
"basement",4.4,"DAKOTA"
"basement",21.2,"DAKOTA"
"basement",9.1,"DAKOTA"
"basement",0.9,"DAKOTA"
"basement",4.9,"DAKOTA"
"basement",5,"DAKOTA"
"basement",1.1,"DAKOTA"
"basement",7.6,"DAKOTA"
"basement",5.4,"DAKOTA"
"basement",3.6,"DAKOTA"
